# Time, Raw Flux, Raw Flux Error, PCA Flux, PSF Flux
1.881037148618548827e+03,9.892357527418567109e-01,1.000820245980431400e+00,1.000863820476522559e+00,1.001235584868788830e+00
1.881057961456058820e+03,9.894086188184453290e-01,9.991998389044345341e-01,9.995806597844725250e-01,1.000061529436469421e+00
1.881078835330631136e+03,9.890120382876609328e-01,9.999835185575293162e-01,1.000199282579254723e+00,1.000487786686662828e+00
1.881099648173541027e+03,9.904908097292265401e-01,1.000490437825077406e+00,1.000718912509841463e+00,1.000772927535591883e+00
1.881120461018462720e+03,9.896194544188581244e-01,1.000166867207443078e+00,9.999427089203958285e-01,9.999386354533129628e-01
1.881141334899983804e+03,9.913623772560558045e-01,1.000915457981614409e+00,1.000987805312488099e+00,1.001160540438781776e+00
1.881162147749267206e+03,9.902810697741455392e-01,1.000615341497471444e+00,1.000794230652442218e+00,1.000095399167622023e+00
1.881182960599448506e+03,9.913477425671579635e-01,1.001182153542719000e+00,1.001331063590294335e+00,1.000737117853332636e+00
1.881203834485976813e+03,9.901478135993935226e-01,1.000729280690459744e+00,1.000684537700097687e+00,1.000412573649988479e+00
1.881224647339016428e+03,9.909114957585002381e-01,9.999853979408666049e-01,1.000287332824530084e+00,1.000488671772675753e+00
1.881245460193058534e+03,9.912775413464791630e-01,1.001384746846760265e+00,1.001561139560203095e+00,1.000905389622171349e+00
1.881266334081652303e+03,9.916777498263766866e-01,1.000940902927326182e+00,1.001316047287326594e+00,9.997200088265034701e-01
1.881287146936348336e+03,9.912448715488627604e-01,9.999564817877355516e-01,1.000423648262463105e+00,1.000518856999527584e+00
1.881307959790702171e+03,9.909231831949731895e-01,1.000953305648204061e+00,1.001040429242030072e+00,1.000368836884614643e+00
1.881328833679194304e+03,9.918579147130048845e-01,1.000372234325052734e+00,1.000456946597449770e+00,1.000742721670978774e+00
1.881349646532960151e+03,9.913907033467010965e-01,1.000310111170507499e+00,1.000285168536048319e+00,1.000657931805893242e+00
1.881370459385587083e+03,9.915349097909237353e-01,1.000172713480055320e+00,1.000273936616243198e+00,1.000798581610819138e+00
