# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
2.188057572367999455e+03,1.018192808285469653e+00,1.001446737252021268e+00,1.001711859803581461e+00,1.000614977967060115e+00
2.188064516697830641e+03,1.017454001377134487e+00,1.000042479993978217e+00,1.000181098806418145e+00,1.000161462574435056e+00
2.188071461027838723e+03,1.018657396812167715e+00,1.000543648353943826e+00,1.000814513094343772e+00,1.000407956084123029e+00
2.188078405358017335e+03,1.016441890795197311e+00,9.995133497855972493e-01,9.998649462327036108e-01,1.000876411032706859e+00
2.188085349688357383e+03,1.018150620842140919e+00,9.984574691952103898e-01,9.988567515728743462e-01,1.000705106562830959e+00
2.188092294018851135e+03,1.017526097001377750e+00,1.000708569170940754e+00,1.001034597076156718e+00,1.000868037103492814e+00
2.188099238349493135e+03,1.016777588644182551e+00,9.997301533086011549e-01,1.000077518066495808e+00,1.000756163522910969e+00
2.188106182680272923e+03,1.017183996196145079e+00,9.998785400819315550e-01,1.000190191530861750e+00,1.001205267067816873e+00
2.188113127011180495e+03,1.017545887957052475e+00,1.001318821839043860e+00,1.001603677056454256e+00,1.001202136518402286e+00
2.188120071342208121e+03,1.016714141168637342e+00,9.994449652735681866e-01,9.998942426881252121e-01,1.001151917870176877e+00
2.188127015673347159e+03,1.018319121149628304e+00,1.000269651770670176e+00,1.000669924690676948e+00,1.001636730655285135e+00
2.188133960004585333e+03,1.017614518778131361e+00,9.990258586139171282e-01,9.995547595205162006e-01,1.000948956682327529e+00
2.188140904335912637e+03,1.017120243817921432e+00,9.990324377760196883e-01,9.995529947467634013e-01,1.001340527454291918e+00
2.188147848667319522e+03,1.016655211796418490e+00,9.972635568480042734e-01,9.978367104055788639e-01,1.000760621068175871e+00
2.188154792998795074e+03,1.016453283068001756e+00,9.995118417321294801e-01,1.000006597547836495e+00,1.001613882611916528e+00
2.188161737330326105e+03,1.017821353667828888e+00,9.983718272881457745e-01,9.989516433755196712e-01,1.000814883919368903e+00
2.188168681661901246e+03,1.017405632724960540e+00,9.978848750651261312e-01,9.985270739194450629e-01,1.001413473771080254e+00
2.188175625993511403e+03,1.016357848529643615e+00,9.993621009498606655e-01,9.998131485560467491e-01,1.001151097886346486e+00
2.188182570325142478e+03,1.015363061963528102e+00,9.975255661058487489e-01,9.980284426006885701e-01,1.000748016512079897e+00
2.188189514656781739e+03,1.016242179540805646e+00,9.984688305229945104e-01,9.989904698328572197e-01,1.000831912701410253e+00
2.188196458988418726e+03,1.016506419289329832e+00,9.994346907337484653e-01,9.998372574739012864e-01,1.000943968384041982e+00
2.188203403320040252e+03,1.016132109673881567e+00,9.991271476615711800e-01,9.995461135725223212e-01,1.001094939822669172e+00
2.188210347651631764e+03,1.015181533996142749e+00,9.990866579537498460e-01,9.994742072947088163e-01,1.000807386542020394e+00
2.188217291983182804e+03,1.015544035562407021e+00,9.995358149946764748e-01,9.999493945764894587e-01,1.000678249553748733e+00
2.188224236314679729e+03,1.014886831698198044e+00,1.000088816403691183e+00,1.000291790563195615e+00,1.001261893403108560e+00
