time,flux
1.447516373294296500e+03,1.000332355499267578e+00
1.447537206559389233e+03,9.998646378517150879e-01
1.447558039823530180e+03,1.000449538230895996e+00
1.447578873086728208e+03,1.000579476356506348e+00
1.447599706348995824e+03,1.000678300857543945e+00
1.447620539610312790e+03,9.997977614402770996e-01
1.447641372870699570e+03,1.000080585479736328e+00
1.447662206130136838e+03,9.997667670249938965e-01
1.447683039388645966e+03,1.000453591346740723e+00
1.447703872646206946e+03,1.000575661659240723e+00
1.447724705902840469e+03,1.000297784805297852e+00
1.447745539158527890e+03,1.000373959541320801e+00
1.447766372413279214e+03,9.998527765274047852e-01
1.447787205667106036e+03,1.000168323516845703e+00
1.447808038919988576e+03,1.000178456306457520e+00
1.447828872171947978e+03,9.997805356979370117e-01
1.447849705422964689e+03,1.000140309333801270e+00
1.447870538673060082e+03,1.000143766403198242e+00
1.447891371922214830e+03,1.000366449356079102e+00
1.447912205170449624e+03,1.000420331954956055e+00
1.447933038417746275e+03,1.000224113464355469e+00
1.447953871664115013e+03,1.000114202499389648e+00
1.447974704909566753e+03,1.000211358070373535e+00
1.447995538154083761e+03,1.000296711921691895e+00
1.448016371397686044e+03,1.000104427337646484e+00
1.448037204640354730e+03,1.000429391860961914e+00
1.448058037882111648e+03,1.000156164169311523e+00
1.448078871122937926e+03,1.000037789344787598e+00
1.448099704362854027e+03,1.000131726264953613e+00
1.448120537601842443e+03,1.001215577125549316e+00
1.448141370839923866e+03,9.949278831481933594e-01
1.448162204077079650e+03,9.796435236930847168e-01
1.448183037313321847e+03,9.598717689514160156e-01
1.448203870548661371e+03,9.386314749717712402e-01
1.448224703783079804e+03,9.200330376625061035e-01
1.448245537016598973e+03,9.081839323043823242e-01
1.448266370249200691e+03,9.058749675750732422e-01
1.448287203480906328e+03,9.128435850143432617e-01
1.448308036711697923e+03,9.275418519973754883e-01
1.448328869941597532e+03,9.473328590393066406e-01
1.448349703170586508e+03,9.688606262207031250e-01
1.448370536398687364e+03,9.876016974449157715e-01
1.448391369625881907e+03,9.985664486885070801e-01
1.448412202852192422e+03,1.000316262245178223e+00
1.448433036077600946e+03,9.999073743820190430e-01
1.448453869302119983e+03,1.000376224517822266e+00
1.448474702525761813e+03,9.999378323554992676e-01
1.448495535748509155e+03,1.000008821487426758e+00
1.448516368970384065e+03,1.000214219093322754e+00
1.448537202191369488e+03,9.999117255210876465e-01
1.448558035411488390e+03,1.000743865966796875e+00
1.448578868630723264e+03,9.999713897705078125e-01
1.448599701849097528e+03,1.000279188156127930e+00
1.448620535066594130e+03,9.999183416366577148e-01
1.448641368283236261e+03,9.995895624160766602e-01
1.448662201499006869e+03,1.000132799148559570e+00
1.448683034713919824e+03,1.000059366226196289e+00
1.448703867927988767e+03,1.000707387924194336e+00
1.448724701141197102e+03,1.000086188316345215e+00
1.448745534353569155e+03,1.000697851181030273e+00
1.448766367565088558e+03,1.000445723533630371e+00
1.448787200775779411e+03,1.000545382499694824e+00
1.448808033985626480e+03,1.000018715858459473e+00
1.448828867194654322e+03,1.000356674194335938e+00
1.448849700402847020e+03,1.000256061553955078e+00
1.448870533610230041e+03,1.000322341918945312e+00
1.448891366816788604e+03,1.000104904174804688e+00
1.448912200022547495e+03,1.000469803810119629e+00
1.448933033227491933e+03,9.999934434890747070e-01
1.448953866431638971e+03,1.000382542610168457e+00
1.448974699635003617e+03,1.000548958778381348e+00
1.448995532837571773e+03,1.000031709671020508e+00
1.449016366039370723e+03,1.000150918960571289e+00
1.449037199240387281e+03,1.000392913818359375e+00
